tau,clarabel,ecos,qcos_custom,qcos,mosek
1.0,0.0,0.0,1.0,0.0,0.0
1.0092621909870476,0.0,0.0,1.0,0.0,0.0
1.0186101701559758,0.0,0.0,1.0,0.0,0.0
1.0280447320933093,0.0,0.0,1.0,0.0,0.0
1.0375666787451858,0.0,0.0,1.0,0.0,0.0
1.0471768194855202,0.0,0.0,1.0,0.0,0.0
1.0568759711848041,0.0,0.0,1.0,0.0,0.0
1.0666649582795393,0.0,0.0,1.0,0.0,0.0
1.0765446128423155,0.0,0.0,1.0,0.0,0.0
1.0865157746525382,0.0,0.0,1.0,0.0,0.0
1.0965792912678098,0.0,0.0,1.0,0.0,0.0
1.1067360180959736,0.0,0.0,1.0,0.0,0.0
1.116986818467823,0.0,0.0,1.0,0.0,0.0
1.1273325637104867,0.0,0.0,1.0,0.0,0.0
1.1377741332214912,0.0,0.0,1.0,0.0,0.0
1.148312414543511,0.0,0.0,1.0,0.0,0.0
1.158948303439811,0.0,0.0,1.0,0.0,0.0
1.1696827039703852,0.0,0.0,1.0,0.0,0.0
1.180516528568805,0.0,0.0,1.0,0.0,0.0
1.1914506981197759,0.0,0.0,1.0,0.0,0.0
1.2024861420374122,0.0,0.0,1.0,0.0,0.0
1.2136237983442408,0.0,0.0,1.0,0.0,0.0
1.2248646137509314,0.0,0.0,1.0,0.0,0.0
1.2362095437367686,0.0,0.0,1.0,0.0,0.0
1.2476595526308696,0.0,0.0,1.0,0.0,0.0
1.259215613694151,0.0,0.0,1.0,0.0,0.0
1.2708787092020586,0.0,0.0,1.0,0.0,0.0
1.2826498305280605,0.0,0.0,1.0,0.0,0.0
1.2945299782279156,0.0,0.0,1.0,0.0,0.0
1.306520162124721,0.0,0.0,1.0,0.0,0.0
1.3186214013947486,0.0,0.0,1.0,0.0,0.0
1.330834724654075,0.0,0.0,1.0,0.0,0.0
1.343161170046016,0.0,0.0,1.0,0.0,0.0
1.3556017853293685,0.0,0.0,1.0,0.0,0.0
1.3681576279674716,0.0,0.0,1.0,0.0,0.0
1.3808297652180925,0.0,0.0,1.0,0.0,0.0
1.3936192742241424,0.0,0.0,1.0,0.0,0.0
1.406527242105237,0.0,0.0,1.0,0.0,0.0
1.4195547660501011,0.0,0.0,1.0,0.0,0.0
1.4327029534098308,0.0,0.0,1.0,0.0,0.0
1.4459729217920199,0.0,0.0,1.0,0.0,0.0
1.4593657991557567,0.0,0.0,1.0,0.0,0.0
1.4728827239075026,0.0,0.0,1.0,0.0,0.0
1.4865248449978568,0.0,0.0,1.0,0.0,0.0
1.500293322019218,0.0,0.0,1.0,0.0,0.0
1.5141893253043521,0.125,0.0,1.0,0.0,0.0
1.5282140360258698,0.125,0.0,1.0,0.0,0.0
1.5423686462966282,0.125,0.0,1.0,0.0,0.0
1.5566543592710615,0.125,0.0,1.0,0.0,0.0
1.5710723892474503,0.125,0.0,1.0,0.0,0.0
1.5856239617711374,0.125,0.0,1.0,0.0,0.0
1.6003103137387007,0.125,0.0,1.0,0.0,0.0
1.6151326935030905,0.125,0.0,1.0,0.0,0.0
1.6300923609797406,0.25,0.0,1.0,0.0,0.0
1.6451905877536623,0.25,0.0,1.0,0.0,0.0
1.66042865718753,0.375,0.0,1.0,0.0,0.0
1.6758078645307677,0.375,0.0,1.0,0.0,0.0
1.691329517029648,0.375,0.0,1.0,0.0,0.0
1.7069949340384074,0.5,0.0,1.0,0.0,0.0
1.722805447131394,0.5,0.0,1.0,0.0,0.0
1.7387624002162507,0.5,0.0,1.0,0.0,0.0
1.754867149648151,0.5,0.0,1.0,0.0,0.0
1.7711210643450879,0.5,0.0,1.0,0.0,0.0
1.787525525904235,0.5,0.0,1.0,0.0,0.0
1.8040819287193828,0.625,0.0,1.0,0.0,0.0
1.8207916800994628,0.625,0.0,1.0,0.0,0.0
1.8376562003881711,0.625,0.0,1.0,0.0,0.0
1.8546769230846987,0.625,0.0,1.0,0.0,0.0
1.8718552949655787,0.625,0.0,1.0,0.0,0.0
1.8891927762076663,0.625,0.0,1.0,0.0,0.0
1.9066908405122525,0.625,0.0,1.0,0.0,0.0
1.924350975230331,0.625,0.0,1.0,0.0,0.0
1.9421746814890257,0.75,0.0,1.0,0.0,0.0
1.9601634743191854,0.75,0.0,1.0,0.0,0.0
1.9783188827841642,0.75,0.0,1.0,0.0,0.0
1.996642450109794,0.75,0.0,1.0,0.0,0.0
2.0151357338155576,0.75,0.0,1.0,0.0,0.0
2.0338003058469813,0.875,0.0,1.0,0.0,0.0
2.052637752709252,1.0,0.0,1.0,0.0,0.0
2.071649675602069,1.0,0.0,1.0,0.0,0.0
2.0908376905557504,1.0,0.125,1.0,0.0,0.0
2.1102034285685956,1.0,0.125,1.0,0.0,0.0
2.12974853574552,1.0,0.125,1.0,0.0,0.0
2.14947467343798,1.0,0.125,1.0,0.0,0.0
2.1693835183851844,1.0,0.125,1.0,0.0,0.0
2.1894767628566214,1.0,0.125,1.0,0.0,0.0
2.209756114795902,1.0,0.125,1.0,0.0,0.0
2.2302232979659378,1.0,0.125,1.0,0.0,0.0
2.2508800520954613,1.0,0.125,1.0,0.125,0.0
2.2717281330269055,1.0,0.125,1.0,0.25,0.0
2.2927693128656492,1.0,0.125,1.0,0.25,0.0
2.314005380130653,1.0,0.125,1.0,0.375,0.0
2.3354381399064787,1.0,0.125,1.0,0.375,0.0
2.3570694139967276,1.0,0.125,1.0,0.375,0.0
2.3789010410788936,1.0,0.125,1.0,0.375,0.0
2.4009348768606524,1.0,0.125,1.0,0.5,0.0
2.4231727942375993,1.0,0.125,1.0,0.5,0.0
2.445616683452446,1.0,0.125,1.0,0.5,0.0
2.468268452255692,1.0,0.125,1.0,0.5,0.0
2.491130026067789,1.0,0.125,1.0,0.5,0.0
2.514203348142797,1.0,0.125,1.0,0.5,0.0
2.5374903797335704,1.0,0.125,1.0,0.5,0.0
2.5609931002584587,1.0,0.125,1.0,0.5,0.0
2.5847135074695635,1.0,0.125,1.0,0.5,0.0
2.608653617622548,1.0,0.125,1.0,0.5,0.0
2.632815465648021,1.0,0.125,1.0,0.5,0.0
2.6572011053245053,1.0,0.125,1.0,0.5,0.0
2.681812609453015,1.0,0.125,1.0,0.5,0.0
2.7066520700332415,1.0,0.125,1.0,0.5,0.0
2.7317215984413767,1.0,0.125,1.0,0.5,0.0
2.7570233256095835,1.0,0.125,1.0,0.5,0.0
2.7825594022071245,1.0,0.125,1.0,0.5,0.0
2.8083319988231716,1.0,0.125,1.0,0.5,0.0
2.8343433061513092,1.0,0.125,1.0,0.5,0.0
2.8605955351757424,1.0,0.125,1.0,0.5,0.0
2.887090917359236,1.0,0.125,1.0,0.5,0.0
2.9138317048327873,1.0,0.125,1.0,0.5,0.0
2.940820170587063,1.0,0.125,1.0,0.625,0.0
2.9680586086656024,1.0,0.125,1.0,0.75,0.0
2.9955493343598136,1.0,0.125,1.0,0.75,0.0
3.0232946844057773,1.0,0.125,1.0,0.75,0.0
3.0512970171828697,1.0,0.125,1.0,0.75,0.0
3.079558712914226,1.0,0.125,1.0,0.75,0.0
3.108082173869064,1.0,0.125,1.0,0.75,0.0
3.1368698245668774,1.0,0.125,1.0,0.75,0.0
3.1659241119835224,1.0,0.125,1.0,0.75,0.0
3.195247505759212,1.0,0.125,1.0,0.75,0.0
3.2248424984084414,1.0,0.125,1.0,0.75,0.0
3.254711605531848,1.0,0.125,1.0,0.75,0.0
3.2848573660300446,1.0,0.125,1.0,0.75,0.0
3.315282342319425,1.0,0.125,1.0,0.75,0.0
3.345989120549973,1.0,0.125,1.0,0.75,0.125
3.3769803108250906,1.0,0.125,1.0,0.75,0.125
3.408258547423452,1.0,0.125,1.0,0.75,0.125
3.4398264890229253,1.0,0.125,1.0,0.75,0.125
3.4716868189265613,1.0,0.125,1.0,0.875,0.125
3.503842245290674,1.0,0.125,1.0,1.0,0.125
3.536295501355042,1.0,0.125,1.0,1.0,0.125
3.5690493456752295,1.0,0.125,1.0,1.0,0.125
3.6021065623570707,1.0,0.125,1.0,1.0,0.125
3.6354699612933197,1.0,0.125,1.0,1.0,0.125
3.669142378402493,1.0,0.125,1.0,1.0,0.125
3.703126675869926,1.0,0.125,1.0,1.0,0.125
3.737425742391064,1.0,0.125,1.0,1.0,0.125
3.7720424934169983,1.0,0.125,1.0,1.0,0.125
3.806979871402286,1.0,0.125,1.0,1.0,0.125
3.84224084605506,1.0,0.125,1.0,1.0,0.125
3.877828414589456,1.0,0.125,1.0,1.0,0.125
3.913745601980384,1.0,0.125,1.0,1.0,0.125
3.949995461220644,1.0,0.125,1.0,1.0,0.125
3.9865810735804406,1.0,0.125,1.0,1.0,0.125
4.023505548869292,1.0,0.125,1.0,1.0,0.125
4.060772025700365,1.0,0.125,1.0,1.0,0.125
4.0983836717572615,1.0,0.125,1.0,1.0,0.25
4.136343684063275,1.0,0.125,1.0,1.0,0.25
4.174655289253137,1.0,0.125,1.0,1.0,0.25
4.213321743847288,1.0,0.125,1.0,1.0,0.25
4.252346334528682,1.0,0.125,1.0,1.0,0.25
4.291732378422157,1.0,0.125,1.0,1.0,0.25
4.3314832233764,1.0,0.125,1.0,1.0,0.25
4.371602248248505,1.0,0.125,1.0,1.0,0.25
4.412092863191189,1.0,0.125,1.0,1.0,0.25
4.452958509942655,1.0,0.125,1.0,1.0,0.25
4.494202662119142,1.0,0.125,1.0,1.0,0.25
4.535828825510188,1.0,0.125,1.0,1.0,0.25
4.577840538376619,1.0,0.125,1.0,1.0,0.25
4.6202413717513116,1.0,0.125,1.0,1.0,0.25
4.663034929742731,1.0,0.125,1.0,1.0,0.25
4.7062248498412815,1.0,0.125,1.0,1.0,0.25
4.749814803228501,1.0,0.125,1.0,1.0,0.25
4.79380849508911,1.0,0.125,1.0,1.0,0.25
4.838209664925956,1.0,0.125,1.0,1.0,0.25
4.8830220868778795,1.0,0.125,1.0,1.0,0.25
4.9282495700405144,1.0,0.125,1.0,1.0,0.25
4.973895958790064,1.0,0.125,1.0,1.0,0.25
5.019965133110082,1.0,0.125,1.0,1.0,0.25
5.066461008921268,1.0,0.125,1.0,1.0,0.25
5.113387538414326,1.0,0.125,1.0,1.0,0.25
5.160748710385909,1.0,0.125,1.0,1.0,0.25
5.208548550577661,1.0,0.125,1.0,1.0,0.25
5.256791122018422,1.0,0.125,1.0,1.0,0.25
5.305480525369573,1.0,0.125,1.0,1.0,0.5
5.354620899273607,1.0,0.125,1.0,1.0,0.5
5.404216420705916,1.0,0.125,1.0,1.0,0.5
5.454271305329834,1.0,0.125,1.0,1.0,0.5
5.50478980785497,1.0,0.125,1.0,1.0,0.5
5.555776222398876,1.0,0.125,1.0,1.0,0.625
5.607234882852032,1.0,0.125,1.0,1.0,0.625
5.659170163246244,1.0,0.125,1.0,1.0,0.625
5.711586478126432,1.0,0.125,1.0,1.0,0.625
5.764488282925877,1.0,0.125,1.0,1.0,0.625
5.8178800743449335,1.0,0.125,1.0,1.0,0.625
5.871766390733256,1.0,0.125,1.0,1.0,0.625
5.926151812475554,1.0,0.125,1.0,1.0,0.625
5.981040962380941,1.0,0.125,1.0,1.0,0.625
6.036438506075867,1.0,0.125,1.0,1.0,0.625
6.09234915240071,1.0,0.125,1.0,1.0,0.625
6.148777653810023,1.0,0.125,1.0,1.0,0.625
6.205728806776502,1.0,0.125,1.0,1.0,0.625
6.263207452198689,1.0,0.125,1.0,1.0,0.625
6.321218475812452,1.0,0.125,1.0,1.0,0.625
6.379766808606281,1.0,0.125,1.0,1.0,0.625
6.4388574272404195,1.0,0.125,1.0,1.0,0.625
6.49849535446989,1.0,0.125,1.0,1.0,0.625
6.558685659571432,1.0,0.125,1.0,1.0,0.625
6.619433458774393,1.0,0.125,1.0,1.0,0.625
6.680743915695613,1.0,0.125,1.0,1.0,0.625
6.742622241778342,1.0,0.125,1.0,1.0,0.625
6.805073696735208,1.0,0.125,1.0,1.0,0.625
6.868103588995304,1.0,0.125,1.0,1.0,0.75
6.931717276155405,1.0,0.125,1.0,1.0,0.75
6.995920165435373,1.0,0.125,1.0,1.0,0.75
7.060717714137772,1.0,0.125,1.0,1.0,0.75
7.1261154301117475,1.0,0.125,1.0,1.0,0.75
7.192118872221189,1.0,0.125,1.0,1.0,0.75
7.258733650817251,1.0,0.125,1.0,1.0,0.75
7.3259654282152304,1.0,0.125,1.0,1.0,0.75
7.393819919175866,1.0,0.125,1.0,1.0,0.75
7.46230289139111,1.0,0.125,1.0,1.0,0.75
7.531420165974372,1.0,0.125,1.0,1.0,0.75
7.6011776179553285,1.0,0.125,1.0,1.0,0.75
7.671581176779302,1.0,0.125,1.0,1.0,0.75
7.742636826811269,1.0,0.125,1.0,1.0,0.75
7.814350607844544,1.0,0.125,1.0,1.0,0.75
7.886728615614151,1.0,0.125,1.0,1.0,0.75
7.959777002314984,1.0,0.125,1.0,1.0,0.75
8.033501977124734,1.0,0.125,1.0,1.0,0.75
8.107909806731687,1.0,0.125,1.0,1.0,0.75
8.183006815867392,1.0,0.125,1.0,1.0,0.75
8.258799387844268,1.0,0.125,1.0,1.0,0.75
8.335293965098193,1.0,0.125,1.0,1.0,0.75
8.412497049736118,1.0,0.125,1.0,1.0,0.75
8.490415204088746,1.0,0.125,1.0,1.0,0.75
8.56905505126835,1.0,0.125,1.0,1.0,0.75
8.648423275731721,1.0,0.125,1.0,1.0,0.75
8.728526623848378,1.0,0.125,1.0,1.0,0.75
8.809371904473991,1.0,0.125,1.0,1.0,0.75
8.89096598952916,1.0,0.125,1.0,1.0,0.75
8.973315814583522,1.0,0.125,1.0,1.0,0.75
9.05642837944529,1.0,0.125,1.0,1.0,0.75
9.14031074875623,1.0,0.125,1.0,1.0,0.75
9.224970052592175,1.0,0.125,1.0,1.0,0.75
9.310413487069077,1.0,0.125,1.0,1.0,0.75
9.396648314954692,1.0,0.125,1.0,1.0,0.75
9.483681866285922,1.0,0.125,1.0,1.0,0.75
9.571521538991863,1.0,0.125,1.0,1.0,0.75
9.660174799522645,1.0,0.125,1.0,1.0,0.75
9.749649183484088,1.0,0.125,1.0,1.0,0.75
9.83995229627823,1.0,0.125,1.0,1.0,0.75
9.931091813749795,1.0,0.125,1.0,1.0,0.75
10.023075482838655,1.0,0.125,1.0,1.0,0.75
10.115911122238296,1.0,0.125,1.0,1.0,0.75
10.209606623060465,1.0,0.125,1.0,1.0,0.75
10.30416994950588,1.0,0.125,1.0,1.0,0.75
10.399609139541198,1.0,0.125,1.0,1.0,0.75
10.495932305582278,1.0,0.125,1.0,1.0,0.75
10.5931476351837,1.0,0.125,1.0,1.0,0.75
10.691263391734761,1.0,0.125,1.0,1.0,0.75
10.79028791516184,1.0,0.125,1.0,1.0,0.75
10.8902296226373,1.0,0.125,1.0,1.0,0.75
10.991097009294972,1.0,0.125,1.0,1.0,0.75
11.092898648952227,1.0,0.125,1.0,1.0,0.75
11.195643194838782,1.0,0.125,1.0,1.0,0.75
11.299339380332222,1.0,0.125,1.0,1.0,0.75
11.403996019700324,1.0,0.125,1.0,1.0,0.75
11.509622008850323,1.0,0.125,1.0,1.0,0.75
11.616226326085018,1.0,0.125,1.0,1.0,0.75
11.723818032865985,1.0,0.125,1.0,1.0,0.75
11.832406274583786,1.0,0.125,1.0,1.0,0.75
11.942000281335318,1.0,0.125,1.0,1.0,0.75
12.052609368708426,1.0,0.125,1.0,1.0,0.75
12.164242938573679,1.0,0.125,1.0,1.0,0.75
12.276910479883592,1.0,0.125,1.0,1.0,0.75
12.390621569479162,1.0,0.125,1.0,1.0,0.75
12.505385872903908,1.0,0.125,1.0,1.0,0.75
12.621213145225473,1.0,0.125,1.0,1.0,0.75
12.738113231864785,1.0,0.125,1.0,1.0,0.75
12.856096069432958,1.0,0.125,1.0,1.0,0.75
12.975171686575875,1.0,0.125,1.0,1.0,0.75
13.09535020482667,1.0,0.125,1.0,1.0,0.75
13.216641839466051,1.0,0.125,1.0,1.0,0.75
13.339056900390586,1.0,0.125,1.0,1.0,0.75
13.462605792989104,1.0,0.125,1.0,1.0,0.75
13.587299019027098,1.0,0.125,1.0,1.0,0.75
13.71314717753945,1.0,0.125,1.0,1.0,0.75
13.840160965731316,1.0,0.125,1.0,1.0,0.75
13.968351179887398,1.0,0.125,1.0,1.0,0.75
14.09772871628967,1.0,0.125,1.0,1.0,0.75
14.228304572143527,1.0,0.125,1.0,1.0,0.75
14.360089846512599,1.0,0.125,1.0,1.0,0.75
14.493095741262167,1.0,0.125,1.0,1.0,0.75
14.627333562011298,1.0,0.125,1.0,1.0,0.75
14.762814719093903,1.0,0.125,1.0,1.0,0.75
14.899550728528544,1.0,0.125,1.0,1.0,0.75
15.037553212997377,1.0,0.125,1.0,1.0,0.75
15.176833902834053,1.0,0.125,1.0,1.0,0.75
15.317404637020799,1.0,0.125,1.0,1.0,0.75
15.459277364194778,1.0,0.125,1.0,1.0,0.75
15.602464143663687,1.0,0.125,1.0,1.0,0.75
15.74697714643086,1.0,0.125,1.0,1.0,0.75
15.89282865622978,1.0,0.125,1.0,1.0,0.75
16.040031070568197,1.0,0.125,1.0,1.0,0.75
16.188596901781985,1.0,0.125,1.0,1.0,0.75
16.338538778098613,1.0,0.125,1.0,1.0,0.75
16.48986944471065,1.0,0.125,1.0,1.0,0.75
16.642601764859037,1.0,0.125,1.0,1.0,0.75
16.79674872092653,1.0,0.125,1.0,1.0,0.75
16.952323415541205,1.0,0.125,1.0,1.0,0.75
17.109339072690144,1.0,0.125,1.0,1.0,0.75
17.26780903884356,1.0,0.125,1.0,1.0,0.75
17.42774678408919,1.0,0.125,1.0,1.0,0.75
17.589165903277326,1.0,0.125,1.0,1.0,0.75
17.75208011717635,1.0,0.125,1.0,1.0,0.75
17.916503273639005,1.0,0.125,1.0,1.0,0.75
18.082449348779516,1.0,0.125,1.0,1.0,0.75
18.249932448161523,1.0,0.125,1.0,1.0,0.75
18.41896680799711,1.0,0.125,1.0,1.0,0.75
18.589566796356873,1.0,0.125,1.0,1.0,0.75
18.761746914391203,1.0,0.125,1.0,1.0,0.75
18.935521797562952,1.0,0.125,1.0,1.0,0.75
19.11090621689138,1.0,0.125,1.0,1.0,0.75
19.287915080207778,1.0,0.125,1.0,1.0,0.75
19.46656343342262,1.0,0.125,1.0,1.0,0.75
19.646866461804454,1.0,0.125,1.0,1.0,0.75
19.828839491270713,1.0,0.125,1.0,1.0,0.75
20.01249798969037,1.0,0.125,1.0,1.0,0.75
20.197857568198785,1.0,0.125,1.0,1.0,0.75
20.384933982524633,1.0,0.125,1.0,1.0,0.75
20.573743134329128,1.0,0.125,1.0,1.0,0.75
20.764301072557746,1.0,0.125,1.0,1.0,0.75
20.95662399480433,1.0,0.125,1.0,1.0,0.75
21.150728248687948,1.0,0.125,1.0,1.0,0.75
21.346630333242445,1.0,0.125,1.0,1.0,0.75
21.544346900318832,1.0,0.125,1.0,1.0,0.75
